Comparação com Heap / Comparação sem heap / Tamanho
0 0 1
0 0 2
0 1 3
1 0 4
1 0 5
1 3 6
1 3 7
2 0 8
0 3 9
0 3 10
0 4 11
2 3 12
3 0 13
1 1 14
0 12 15
0 13 16
2 3 17
2 3 18
3 1 19
0 14 20
0 17 21
0 20 22
1 8 23
2 5 24
0 22 25
0 21 26
2 2 27
1 18 28
0 27 29
0 21 30
1 20 31
4 1 32
5 0 33
0 26 34
4 0 35
1 10 36
1 10 37
0 29 38
0 31 39
3 4 40
0 38 41
3 2 42
1 12 43
1 30 44
1 30 45
2 8 46
0 37 47
4 0 48
0 23 49
1 44 50
1 29 51
3 1 52
0 45 53
0 40 54
3 0 55
2 28 56
0 50 57
1 32 58
4 0 59
2 10 60
2 10 61
1 16 62
0 25 63
1 49 64
1 45 65
5 3 66
1 10 67
1 36 68
1 18 69
6 0 70
0 20 71
3 21 72
2 23 73
0 67 74
0 32 75
1 33 76
0 60 77
2 25 78
0 32 79
2 34 80
0 57 81
4 4 82
0 52 83
3 5 84
2 6 85
1 9 86
0 10 87
2 40 88
3 5 89
1 36 90
0 68 91
0 55 92
0 86 93
2 20 94
0 74 95
6 0 96
0 86 97
1 28 98
0 43 99
2 53 100
0 75 101
0 98 102
2 21 103
1 46 104
3 7 105
1 17 106
0 63 107
1 52 108
2 9 109
0 87 110
1 63 111
0 101 112
2 37 113
6 0 114
0 100 115
1 85 116
0 91 117
2 23 118
1 35 119
3 17 120
0 38 121
0 87 122
2 18 123
0 108 124
0 104 125
0 73 126
0 125 127
2 55 128
0 120 129
2 37 130
0 83 131
1 42 132
0 71 133
6 2 134
0 28 135
1 92 136
1 85 137
2 32 138
4 11 139
0 124 140
0 127 141
0 104 142
0 83 143
0 113 144
0 86 145
0 129 146
0 134 147
1 119 148
4 24 149
0 75 150
0 121 151
3 48 152
0 135 153
1 110 154
3 48 155
1 74 156
0 110 157
0 156 158
0 66 159
0 156 160
0 154 161
2 62 162
6 0 163
2 49 164
0 83 165
0 119 166
0 163 167
0 145 168
1 42 169
0 125 170
1 56 171
1 48 172
0 57 173
0 113 174
0 166 175
2 70 176
0 137 177
0 161 178
1 92 179
0 144 180
2 65 181
3 37 182
3 37 183
3 11 184
0 133 185
1 114 186
1 114 187
1 110 188
2 80 189
1 102 190
0 148 191
1 111 192
0 182 193
2 73 194
1 77 195
0 178 196
1 63 197
0 120 198
5 3 199
1 163 200
3 31 201
0 159 202
1 141 203
3 27 204
1 94 205
2 30 206
0 120 207
1 84 208
0 188 209
0 180 210
0 157 211
1 59 212
4 7 213
0 145 214
0 200 215
1 95 216
0 136 217
0 99 218
0 109 219
2 68 220
0 215 221
1 99 222
0 219 223
3 39 224
0 146 225
3 30 226
0 190 227
0 207 228
3 14 229
1 72 230
2 16 231
4 5 232
6 0 233
1 129 234
0 154 235
2 57 236
0 142 237
0 220 238
1 93 239
0 204 240
0 238 241
1 53 242
0 196 243
1 141 244
1 133 245
1 144 246
4 22 247
2 118 248
0 231 249
0 200 250
1 122 251
3 65 252
2 67 253
1 143 254
1 81 255
2 165 256
3 57 257
1 150 258
0 158 259
